pc4,stedelijkheid,mgr_mean,PercentageTrees,PercentageBushes,PercentageGrass
1561,2,7.278961163,22.16,7.68,37.53
1562,2,6.377657249,23.17,8.33,47.37
1566,4,7.076195269,24.84,9.68,57.96
1567,2,6.977700193,5.17,5.56,45.38
1601,3,3.874304174,36.39,7.87,47.32
1602,3,3.194119639,24.92,6.98,41.18
1606,5,3.617237765,24.17,7.61,54.75
1607,5,3.758379758,26.44,6.58,53.56
1608,5,3.681158339,25.4,6.8,58.72
1609,5,3.352036556,27.12,11.99,54.46
1611,3,3.767258371,35.69,7.77,40.3
1613,3,4.03802709,26.56,9.19,40.77
1614,4,4.091385436,32.78,9.11,51.3
1616,4,4.256890083,24.08,7.77,45.44
1617,5,4.112359286,25.02,6.34,59.66
1619,5,3.193305106,31.47,8.65,49.14
1621,2,4.776789554,37.65,7.41,36.32
1622,3,5.091791983,33.84,8.17,38.69
1623,2,5.115205027,30.17,8.45,36.5
1624,2,5.483403574,31.1,7.94,36.74
1625,2,5.155258511,31.1,8.67,36.81
1627,4,6.750406633,27.88,5.12,33.19
1628,2,4.947718355,24.85,8.64,32.8
1631,5,4.672951628,30.78,7.36,56.55
1633,4,4.446180075,26.83,7.96,52.37
1634,5,4.956081566,37.95,10.12,48.99
1636,5,4.175399285,22.28,6.88,54.6
1641,5,4.206886133,19.77,7.79,56.89
1642,5,4.178337426,26.52,7.57,61.4
1643,5,4.269347809,20.52,7.88,69.37
1645,5,3.886458805,25.89,7.98,53.67
1646,5,3.947730852,26.84,9.06,53.89
1647,5,4.530997092,29.06,8.24,52.26
1648,4,4.405026818,19.53,6.99,42.04
1652,5,3.929876385,22.36,6.45,59.73
1654,5,4.330793212,28.38,7.43,58.43
1655,5,4.029035591,21.87,7.48,57.33
1657,5,3.906514148,28.99,7.89,53.26
1658,5,3.868697848,34.9,6.41,51.78
1661,5,3.249335039,22.35,7.11,61.19
1662,5,3.357861322,15.82,7.71,57.53
1663,5,3.606729626,21.03,6.98,58.71
1671,3,3.737804157,21.06,7.86,48.29
1674,5,3.683208132,22.13,8.15,58.29
1676,5,3.742480408,29.42,8.15,58.17
1678,5,3.289234393,30.98,8.16,55.28
1679,5,3.674657437,24.75,7.8,57.58
1681,5,4.594923009,23.84,6.31,46.93
1682,5,3.785588176,23.14,9.1,48.37
1683,5,3.668062878,21.82,5.87,54.39
1684,5,4.676430208,23.98,6.69,56.9
1685,4,5.27512802,21.64,6.85,58.15
1686,5,4.422366364,20.45,5.85,63.24
1687,4,4.385384894,23.76,7.85,54.3
1688,5,3.914422901,21.88,7.73,55.76
1689,3,5.319102686,25.49,7.49,41.69
1691,5,3.583700765,23.95,7.99,56.88
1692,5,3.385134178,36.8,9.42,58.36
1693,4,3.462438738,27.4,8.76,49.36
1695,2,4.795111102,26.44,9.74,43.82
1696,5,4.055197463,21.02,7.87,56.82
1697,5,4.042372749,24.96,8.68,58.79
1701,2,4.936834637,32.93,8.75,44.71
1702,2,4.589875755,31.59,9.19,41.17
1703,2,5.015735746,25.7,7.97,48.48
1704,4,5.066772208,21.84,7.2,54.18
1705,2,4.621590444,11.45,7.61,44.36
1706,4,4.358668649,34.77,5.72,46.36
1711,5,3.982931825,24.4,7.75,59.73
1713,4,4.393077138,25.24,7.76,52.49
1715,4,4.078380368,19.75,7.35,56.32
1716,4,4.494704136,22.35,7.83,48.28
1718,5,3.65556416,23.82,7.89,56.3
1719,5,3.50633784,31.79,8.13,57.79
1721,4,5.321417772,25.37,8.03,44.04
1722,3,4.989943129,25.36,8.9,42.96
1723,3,4.956952391,32.25,8.04,39.31
1724,4,4.431511251,24.98,9.4,56.14
1731,5,3.574524192,26.34,7.78,58.69
1732,5,3.245254551,24.79,7.76,58.26
1733,5,3.599148705,29.57,7.89,51.02
1734,5,4.078050396,30.15,8.18,56.02
1735,5,3.459187148,25.78,7.8,52.74
1736,5,4.177211722,26.74,8.56,54.49
1738,5,3.620495677,27.3,7.71,57.68
1741,2,4.014655818,23.07,8.35,48.15
1742,4,4.057075679,25.2,9.84,50.63
